duration	q1.1	q2.1	q2.2	q2.3	q2.4	q2.5	q2.6	q2.6_1	q2.6_2	q2.6_3	q2.6_4	q2.6_5	q2.7	nq	q2.8_1	q2.8_2	q2.8_3	q2.8_4	q2.8_5	q2.8_6	q2.8_7	q2.8_8	q2.8_9	q2.8_10	q2.8_11	q2.8_12	q2.8_12_t	q2.9_1	q2.9_2	q2.9_3	q2.9_4	q2.9_5	q2.9_6	q2.9_7	q2.9_8	q2.9_9	q2.9_10	q2.9_11	q2.10	q3.2	q3.3	q3.4	q3.5	q3.6	q3.7	q3.8	q4.1	q4.2	q4.3	q4.4	q4.5	q4.6	q5.1	q5.2	q5.3	q5.4	q5.5	q5.6	q6.1	q6.2	q6.2_1	q6.2_2	q6.2_3	q6.2_4	q6.2_5	q6.2_6	q6.2_7	q6.2_8	q6.2_9	q6.2_10	age	q7.3	gender	minority	q7.5	q7.6	q7.7	career.stage	q7.7_7_t	q7.8	inst
463	1	5	NA	4	1	4	1	1	NA	NA	NA	NA	2	1	NS	NS	NS	NS	NS	NS	NS	NS	NS	NS	NS	NS	NS	NS	NS	NS	NS	NS	NS	NS	NS	NS	NS	NS	1	NS	NS	NS	NS	NS	NS	NS	3	1	5	4	3	4	2	1	1	1	1	1	3	3,5,6,7,8,10	NA	NA	1	NA	1	1	1	1	NA	1	37	1	W	5	65	169	4	Post-doctoral	NA	2	res_inst
410	1	1	1	4	1	4	1	1	NA	NA	NA	NA	1	0	NS	NS	NS	NS	NS	NS	NS	NS	NS	NS	NS	NS	NS	NS	NS	NS	NS	NS	NS	NS	NS	NS	NS	NS	3	NS	NS	NS	NS	NS	NS	NS	3	4	3	4	4	4	2	2	1	1	1	1	2	1,2,6,7,8	1	1	NA	NA	NA	1	1	1	NA	NA	48	1	W	5	163	163	5	Senior non-permanent	NA	2	res_inst
1447	1	2	2	4	2	3	6	NA	NA	NA	NA	NA	2	1	2	4	3	5	4	3	4	3	4	3	2	NA	NA	NS	NS	NS	NS	NS	NS	NS	NS	NS	NS	NS	4	2	1	4	4	2	1	1	2	4	4	3	4	5	2	3	3	2	1	NA	2	1,3,4,5,6,8	1	NA	1	1	1	1	NA	1	NA	NA	35	2	M	5	163	163	4	Post-doctoral	NA	1	univ
657	1	2	2	4	2	2	1,3	1	NA	1	NA	NA	3	2	NA	NA	NA	NA	NA	NA	3	NA	3	NA	NA	NA	NA	NA	NA	NA	3	NA	4	3	NA	NA	NA	NA	4	2	1	4	4	4	2	1	5	3	4	4	5	5	2	1	1	1	1	1	2	1,2,4,5,6,7,9,10	1	1	NA	1	1	1	1	NA	1	1	28	1	W	4	24	185	2	Pre-doctoral	NA	1	univ
845	1	2	2	4	2	3	1,3,5	1	NA	1	NA	1	1	0	3	3	1	2	3	1	2	1	2	4	1	1	NA	NS	NS	NS	NS	NS	NS	NS	NS	NS	NS	NS	4	2	1	4	4	4	2	2	4	3	4	3	3	4	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	36	1	W	5	163	163	2	Pre-doctoral	NA	1	univ
1384	1	5	4	4	2	2	1,3	1	NA	1	NA	NA	2	1	4	1	1	1	3	2	2	3	2	1	4	NA	NA	3	2	2	3	3	2	3	3	3	3	NA	5	NS	NS	NS	NS	NS	NS	NS	4	2	4	4	4	4	2	1	1	2	1	1	2	2,4,5,11	NA	1	NA	1	1	NA	NA	NA	NA	NA	38	1	W	5	163	168	4	Post-doctoral	NA	1	univ
335	1	1	1	4	3	3	NS	NS	NS	NS	NS	NS	NS		NS	NS	NS	NS	NS	NS	NS	NS	NS	NS	NS	NS	NS	NS	NS	NS	NS	NS	NS	NS	NS	NS	NS	NS	4	NS	NS	NS	NS	NS	NS	NS	3	4	4	2	4	4	2	1	1	2	1	1	2	5,6,7,8	NA	NA	NA	NA	1	1	1	1	NA	NA	27	1	W	5	163	163	2	Pre-doctoral	NA	1	univ
416	1	1	3	4	2	3	1	1	NA	NA	NA	NA	1	0	4	3	4	3	2	4	4	4	3	4	3	NA	NA	NS	NS	NS	NS	NS	NS	NS	NS	NS	NS	NS	4	NS	NS	NS	NS	NS	NS	NS	4	5	2	2	4	5	3	2	2	2	1	1	3	1,6,8,9	1	NA	NA	NA	NA	1	NA	1	1	NA	34	1	W	5	163	163	4	Post-doctoral	NA	1	univ
1247	1	2	2	4	1	2	1,3	1	NA	1	NA	NA	3	2	NS	NS	NS	NS	NS	NS	NS	NS	NS	NS	NS	NS	NS	4	3	5	4	2	4	2	5	4	4	NA	2	2	1	5	5	5	2	1	4	4	4	4	4	5	1	3	2	3	3	3	2	1,3,6,8,9	1	NA	1	NA	NA	1	NA	1	1	NA	35	1	W	5	163	163	4	Post-doctoral	NA	2	res_inst
623	1	5	2	4	2	2	3	NA	NA	1	NA	NA	2	1	5	3	2	4	4	2	3	4	3	2	1	NA	NA	4	3	4	3	3	2	NA	2	2	1	NA	2	NS	NS	NS	NS	NS	NS	NS	4	2	NA	5	5	5	1	3	1	1	1	1	2	1,2,3,6,8	1	1	1	NA	NA	1	NA	1	NA	NA	56	1	W	5	163	163	6	Senior permanent	NA	1	univ
522	1	5	4	4	2	4	1	1	NA	NA	NA	NA	3	2	4	2	1	1	1	1	1	3	1	1	4	NA	NA	NS	NS	NS	NS	NS	NS	NS	NS	NS	NS	NS	4	NS	NS	NS	NS	NS	NS	NS	4	2	3	4	4	4	1	1	1	1	1	1	3	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	69	1	W	5	138	138	5	Senior non-permanent	NA	1	univ
447	1	2	2	4	2	4	1,3	1	NA	1	NA	NA	1	0	4	5	3	4	4	2	4	1	2	2	1	NA	NA	NS	NS	NS	NS	NS	NS	NS	NS	NS	NS	NS	2	2	2	4	4	4	2	1	4	4	4	4	4	4	2	2	2	2	2	2	2	1,2,3,4,5,6,7,8,9,10	1	1	1	1	1	1	1	1	1	1	33	1	W	5	163	48	4	Post-doctoral	NA	1	univ
635	1	2	2	4	1	3	1	1	NA	NA	NA	NA	4	6	NS	NS	NS	NS	NS	NS	NS	NS	NS	NS	NS	NS	NS	NS	NS	NS	NS	NS	NS	NS	NS	NS	NS	NS	4	2	1	4	5	4	2	1	4	1	3	4	4	4	1	3	3	2	2	1	2	1,2,3,11	1	1	1	NA	NA	NA	NA	NA	NA	NA	42	1	W	5	163	163	6	Senior permanent	NA	2	res_inst
341	1	2	2	4	3	3	NS	NS	NS	NS	NS	NS	NS		NS	NS	NS	NS	NS	NS	NS	NS	NS	NS	NS	NS	NS	NS	NS	NS	NS	NS	NS	NS	NS	NS	NS	NS	4	2	1	4	4	4	2	1	3	3	3	4	3	2	2	2	1	2	1	1	2	1,4	1	NA	NA	1	NA	NA	NA	NA	NA	NA	25	1	W	5	163	163	2	Pre-doctoral	NA	2	res_inst
447	1	2	2	4	2	3	1,3	1	NA	1	NA	NA	3	2	5	3	3	4	5	2	4	3	2	2	4	NA	NA	NS	NS	NS	NS	NS	NS	NS	NS	NS	NS	NS	4	2	1	5	5	4	2	1	4	3	3	5	5	5	1	1	1	1	1	1	9	1,7,8	1	NA	NA	NA	NA	NA	1	1	NA	NA	34	2	M	5	163	163	4	Post-doctoral	NA	2	res_inst
473	1	1	2	4	3	2	NS	NS	NS	NS	NS	NS	NS		NS	NS	NS	NS	NS	NS	NS	NS	NS	NS	NS	NS	NS	3	2	3	3	3	3	3	3	3	2	NA	4	NS	NS	NS	NS	NS	NS	NS	4	4	4	3	4	4	2	3	2	2	1	1	2	1,4,8,9	1	NA	NA	1	NA	NA	NA	1	1	NA	30	1	W	5	163	163	2	Pre-doctoral	NA	2	res_inst
800	1	5	4	4	2	2	1,3,4	1	NA	1	1	NA	2	1	5	2	1	2	2	1	2	1	2	1	5	NA	NA	4	2	4	4	3	4	4	5	2	5	NA	2	NS	NS	NS	NS	NS	NS	NS	4	3	2	2	2	4	3	4	3	4	3	4	2	1,2,3,5,6,7,8,9,10,11	1	1	1	NA	1	1	1	1	1	1	38	1	W	5	17	163	4	Post-doctoral	NA	1	univ
477	1	1	2	3	2	2	1	1	NA	NA	NA	NA	2	1	2	3	1	2	4	3	4	4	2	4	3	NA	NA	3	3	4	1	3	3	4	4	4	2	NA	4	NS	NS	NS	NS	NS	NS	NS	4	1	4	4	4	5	2	2	1	2	1	3	2	1,3,5,6,7,8	1	NA	1	NA	1	1	1	1	NA	NA	59	2	M	5	163	163	6	Senior permanent	NA	1	univ
303	1	1	1	4	2	3	1,5	1	NA	NA	NA	1	3	2	3	2	1	2	2	1	2	3	1	1	1	NA	NA	NS	NS	NS	NS	NS	NS	NS	NS	NS	NS	NS	6	NS	NS	NS	NS	NS	NS	NS	4	4	4	5	5	5	4	4	3	2	1	1	2	9,10	NA	NA	NA	NA	NA	NA	NA	NA	1	1	39	1	W	5	163	163	4	Post-doctoral	Post doctoral freelance researcher and consultant	1	univ
432	1	2	2	4	2	4	3	NA	NA	1	NA	NA	2	1	4	4	2	4	1	3	4	4	2	2	1	NA	NA	NS	NS	NS	NS	NS	NS	NS	NS	NS	NS	NS	2	2	1	5	5	4	2	1	2	4	2	3	3	3	1	1	1	3	2	1	3	1,4,5	1	NA	NA	1	1	NA	NA	NA	NA	NA	31	1	W	5	163	163	2	Pre-doctoral	NA	2	res_inst
377	1	2	2	4	2	3	1	1	NA	NA	NA	NA	3	2	4	1	1	2	1	2	1	1	1	1	3	NA	NA	NS	NS	NS	NS	NS	NS	NS	NS	NS	NS	NS	1	2	2	4	4	4	2	1	2	2	4	4	4	4	2	1	1	1	1	1	3	1,2,5,8	1	1	NA	NA	1	NA	NA	1	NA	NA	55	2	M	5	163	163	6	Senior permanent	NA	1	univ
395	1	5	NA	4	1	3	1,3	1	NA	1	NA	NA	3	2	NS	NS	NS	NS	NS	NS	NS	NS	NS	NS	NS	NS	NS	NS	NS	NS	NS	NS	NS	NS	NS	NS	NS	NS	4	NS	NS	NS	NS	NS	NS	NS	4	2	4	4	4	4	1	2	1	1	1	1	2	1,2,3,5,6	1	1	1	NA	1	1	NA	NA	NA	NA	59	2	M	5	163	163	6	Senior permanent	NA	2	res_inst
513	1	1	2	3	2	2	3	NA	NA	1	NA	NA	1	0	3	NA	NA	NA	3	3	NA	NA	3	3	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	4	NS	NS	NS	NS	NS	NS	NS	4	2	3	4	4	4	2	1	1	1	1	1	2	1,2,3,9,10	1	1	1	NA	NA	NA	NA	NA	1	1	33	1	W	5	138	138	2	Pre-doctoral	NA	2	res_inst
385	1	1	3	3	1	4	1	1	NA	NA	NA	NA	3	2	NS	NS	NS	NS	NS	NS	NS	NS	NS	NS	NS	NS	NS	NS	NS	NS	NS	NS	NS	NS	NS	NS	NS	NS	5	NS	NS	NS	NS	NS	NS	NS	4	1	3	4	4	4	1	2	2	1	1	1	2	1,5,6,8,9	1	NA	NA	NA	1	1	NA	1	1	NA	49	2	M	5	163	163	6	Senior permanent	NA	1	univ
598	1	2	2	3	1	4	3	NA	NA	1	NA	NA	NA		NS	NS	NS	NS	NS	NS	NS	NS	NS	NS	NS	NS	NS	NS	NS	NS	NS	NS	NS	NS	NS	NS	NS	NS	5	2	3	4	4	4	2	1	4	3	3	3	3	4	1	1	1	1	1	1	9	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	36	1	W	5	163	163	4	Post-doctoral	NA	1	univ
715	1	5	NA	4	1	2	1,3,4	1	NA	1	1	NA	3	2	NS	NS	NS	NS	NS	NS	NS	NS	NS	NS	NS	NS	NS	2	3	4	4	1	1	3	1	2	1	NA	1	NS	NS	NS	NS	NS	NS	NS	4	1	4	4	4	4	1	4	1	1	1	1	2	9,10	NA	NA	NA	NA	NA	NA	NA	NA	1	1	58	1	W	5	163	163	6	Senior permanent	NA	1	univ
858	1	2	2	4	1	3	1,3	1	NA	1	NA	NA	3	2	NS	NS	NS	NS	NS	NS	NS	NS	NS	NS	NS	NS	NS	NS	NS	NS	NS	NS	NS	NS	NS	NS	NS	NS	4	2	1	5	5	4	2	2	4	1	4	4	5	5	1	1	1	1	1	1	1	2,3,4,5,6,7,8,10	NA	1	1	1	1	1	1	1	NA	1	39	2	M	5	163	138	4	Post-doctoral	NA	2	res_inst
1323	1	2	2	4	2	4	3	NA	NA	1	NA	NA	3	2	3	3	2	1	4	1	1	1	2	1	1	NA	NA	NS	NS	NS	NS	NS	NS	NS	NS	NS	NS	NS	3	2	2	4	4	4	2	1	4	3	4	4	4	4	2	2	1	1	1	1	1	1,2,3,5,8,10	1	1	1	NA	1	NA	NA	1	NA	1	35	2	M	5	163	163	4	Post-doctoral	NA	2	res_inst
733	1	2	2	4	3	2	NS	NS	NS	NS	NS	NS	NS		NS	NS	NS	NS	NS	NS	NS	NS	NS	NS	NS	NS	NS	2	2	4	3	2	3	4	4	3	2	NA	3	2	1	3	4	3	2	1	4	2	4	4	5	4	2	2	1	1	1	1	1	1,2,3,5,6,7,8,9,10	1	1	1	NA	1	1	1	1	1	1	31	1	W	5	163	163	4	Post-doctoral	NA	2	res_inst
427	1	2	2	4	3	3	NS	NS	NS	NS	NS	NS	NS		NS	NS	NS	NS	NS	NS	NS	NS	NS	NS	NS	NS	NS	NS	NS	NS	NS	NS	NS	NS	NS	NS	NS	NS	5	2	2	4	4	4	2	1	4	2	3	3	4	4	2	1	1	1	1	1	2	1	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	50	1	W	5	163	163	6	Senior permanent	NA	1	univ
640	1	2	2	4	2	4	1	1	NA	NA	NA	NA	3	2	5	2	1	1	5	1	1	4	1	1	5	1	NA	NS	NS	NS	NS	NS	NS	NS	NS	NS	NS	NS	2	2	1	4	5	5	2	1	4	2	1	4	5	4	2	2	2	1	1	1	3	5,11	NA	NA	NA	NA	1	NA	NA	NA	NA	NA	59	1	W	5	163	163	6	Senior permanent	NA	2	res_inst
490	1	1	2	4	3	4	NS	NS	NS	NS	NS	NS	NS		NS	NS	NS	NS	NS	NS	NS	NS	NS	NS	NS	NS	NS	NS	NS	NS	NS	NS	NS	NS	NS	NS	NS	NS	4	NS	NS	NS	NS	NS	NS	NS	4	2	2	4	4	4	2	1	1	1	1	1	2	1,2,3,4,5,6,8,9,10	1	1	1	1	1	1	NA	1	1	1	42	2	M	5	163	163	4	Post-doctoral	NA	1	univ
410	1	3	2	4	2	2	1	1	NA	NA	NA	NA	2	1	3	1	4	5	4	1	3	4	4	1	1	NA	NA	4	4	4	2	1	4	4	3	1	4	NA	4	2	2	5	5	4	1	1	5	2	4	5	5	5	1	1	1	3	1	3	3	4,5,8,10	NA	NA	NA	1	1	NA	NA	1	NA	1	41	1	W	5	163	185	5	Senior non-permanent	NA	1	univ
549	1	2	2	4	2	4	1,3	1	NA	1	NA	NA	3	2	1	2	2	2	2	2	3	3	4	2	3	NA	NA	NS	NS	NS	NS	NS	NS	NS	NS	NS	NS	NS	4	2	1	4	4	4	2	1	4	3	4	4	4	4	2	3	1	1	1	1	2	1,2,6,7,8	1	1	NA	NA	NA	1	1	1	NA	NA	37	2	M	2	163	163	4	Post-doctoral	NA	2	res_inst
19288	1	5	4	4	2	4	1	1	NA	NA	NA	NA	2	1	2	4	2	NA	2	2	3	3	3	2	NA	NA	NA	NS	NS	NS	NS	NS	NS	NS	NS	NS	NS	NS	4	NS	NS	NS	NS	NS	NS	NS	3	3	4	3	4	4	3	2	1	3	NA	NA	2	2,3,5,6,7,8,10,11	NA	1	1	NA	1	1	1	1	NA	1	25	1	W	5	163	163	2	Pre-doctoral	NA	2	res_inst
618	1	3	2	2	2	4	1	1	NA	NA	NA	NA	3	2	1	1	1	2	1	1	1	4	1	1	1	NA	NA	NS	NS	NS	NS	NS	NS	NS	NS	NS	NS	NS	4	2	1	4	4	3	1	1	4	3	4	4	4	5	1	3	1	2	2	1	2	1,5,6,8,9	1	NA	NA	NA	1	1	NA	1	1	NA	60	2	M	5	163	163	6	Senior permanent	NA	2	res_inst
425	1	2	2	4	1	2	1	1	NA	NA	NA	NA	3	2	NS	NS	NS	NS	NS	NS	NS	NS	NS	NS	NS	NS	NS	2	1	3	1	2	1	4	2	1	1	NA	3	2	1	4	4	4	2	1	4	3	4	4	5	5	1	2	1	1	1	1	3	1,3,5,6,7,8	1	NA	1	NA	1	1	1	1	NA	NA	33	2	M	5	163	163	4	Post-doctoral	NA	1	univ
2572	1	2	2	4	2	2	1,3	1	NA	1	NA	NA	1	0	2	5	4	4	4	2	3	2	4	4	2	NA	NA	4	4	4	4	2	3	2	4	4	4	NA	4	2	2	3	4	3	2	1	2	4	4	2	4	4	2	1	1	1	1	1	3	1,2,6,7,8,9	1	1	NA	NA	NA	1	1	1	1	NA	29	1	W	1	179	163	4	Post-doctoral	NA	6	other
1113	1	5	NA	4	2	2	3	NA	NA	1	NA	NA	1	0	2	5	2	4	1	2	4	1	3	1	4	NA	NA	4	1	4	4	3	5	1	4	1	3	NA	4	NS	NS	NS	NS	NS	NS	NS	2	5	1	4	4	4	2	4	2	1	1	1	3	1,2,4,5,7,8,10,11	1	1	NA	1	1	NA	1	1	NA	1	33	1	W	5	61	163	4	Post-doctoral	NA	2	res_inst
383	1	1	1	4	2	4	1	1	NA	NA	NA	NA	3	2	2	2	2	1	4	4	1	1	2	1	1	NA	NA	NS	NS	NS	NS	NS	NS	NS	NS	NS	NS	NS	2	NS	NS	NS	NS	NS	NS	NS	4	1	4	3	4	4	2	1	1	1	1	1	9	5,6,8,9	NA	NA	NA	NA	1	1	NA	1	1	NA	37	2	M	5	138	163	4	Post-doctoral	NA	2	res_inst
558	1	4	3	1	1	4	1	1	NA	NA	NA	NA	5	11	NS	NS	NS	NS	NS	NS	NS	NS	NS	NS	NS	NS	NS	NS	NS	NS	NS	NS	NS	NS	NS	NS	NS	NS	4	2	1	5	5	4	2	1	5	2	3	5	5	5	1	1	1	3	1	1	3	1,2,5,7,8	1	1	NA	NA	1	NA	1	1	NA	NA	45	1	W	2	138	138	6	Senior permanent	NA	1	univ
483	1	5	2	4	1	4	1	1	NA	NA	NA	NA	4	6	NS	NS	NS	NS	NS	NS	NS	NS	NS	NS	NS	NS	NS	NS	NS	NS	NS	NS	NS	NS	NS	NS	NS	NS	4	NS	NS	NS	NS	NS	NS	NS	4	2	4	5	5	5	2	2	2	2	3	1	3	1,6,7,8,9	1	NA	NA	NA	NA	1	1	1	1	NA	42	2	M	5	163	163	6	Senior permanent	NA	1	univ
381	1	2	2	4	1	3	1	1	NA	NA	NA	NA	2	1	NS	NS	NS	NS	NS	NS	NS	NS	NS	NS	NS	NS	NS	NS	NS	NS	NS	NS	NS	NS	NS	NS	NS	NS	4	2	1	5	5	5	2	1	3	1	5	4	4	4	3	2	1	1	1	1	2	4,5,6	NA	NA	NA	1	1	1	NA	NA	NA	NA	24	1	W	5	163	163	2	Pre-doctoral	NA	1	univ
676	1	5	NA	4	1	3	1,2,3,4,5	1	1	1	1	1	4	6	NS	NS	NS	NS	NS	NS	NS	NS	NS	NS	NS	NS	NS	NS	NS	NS	NS	NS	NS	NS	NS	NS	NS	NS	2	NS	NS	NS	NS	NS	NS	NS	4	2	4	4	4	5	1	1	1	2	1	5	9	5,6,7,8,9	NA	NA	NA	NA	1	1	1	1	1	NA	36	2	M	5	163	185	7	other	Publisher	NA	
644	1	1	2	4	1	4	5	NA	NA	NA	NA	1	2	1	NS	NS	NS	NS	NS	NS	NS	NS	NS	NS	NS	NS	NS	NS	NS	NS	NS	NS	NS	NS	NS	NS	NS	NS	4	NS	NS	NS	NS	NS	NS	NS	4	2	2	4	4	4	4	5	1	1	1	1	2	3,6,9	NA	NA	1	NA	NA	1	NA	NA	1	NA	26	2	M	5	163	163	1	Pre-doctoral	NA	6	other
377	1	1	1	4	2	4	3	NA	NA	1	NA	NA	1	0	1	1	1	1	1	1	1	1	1	1	1	1	NA	NS	NS	NS	NS	NS	NS	NS	NS	NS	NS	NS	4	NS	NS	NS	NS	NS	NS	NS	3	4	4	3	4	3	2	1	1	1	1	1	9	1,2	1	1	NA	NA	NA	NA	NA	NA	NA	NA	29	2	M	5	163	163	2	Pre-doctoral	NA	1	univ
657	1	5	NA	4	3	2	NS	NS	NS	NS	NS	NS	NS		NS	NS	NS	NS	NS	NS	NS	NS	NS	NS	NS	NS	NS	1	1	1	1	1	1	1	1	1	2	4	4	NS	NS	NS	NS	NS	NS	NS	4	2	2	4	5	5	2	2	2	3	1	1	2	6,7	NA	NA	NA	NA	NA	1	1	NA	NA	NA	38	2	M	5	163	163	4	Post-doctoral	NA	2	res_inst
392	1	1	2	4	1	4	1,3	1	NA	1	NA	NA	3	2	NS	NS	NS	NS	NS	NS	NS	NS	NS	NS	NS	NS	NS	NS	NS	NS	NS	NS	NS	NS	NS	NS	NS	NS	3	NS	NS	NS	NS	NS	NS	NS	4	1	1	4	4	4	2	3	1	1	1	1	2	1,2,5,6,8	1	1	NA	NA	1	1	NA	1	NA	NA	28	2	M	5	163	185	4	Post-doctoral	NA	1	univ
637	1	2	2	3	2	3	3	NA	NA	1	NA	NA	1	0	5	2	2	2	2	2	2	5	2	2	2	NA	NA	NS	NS	NS	NS	NS	NS	NS	NS	NS	NS	NS	2	1	NS	NS	NS	NS	NS	1	4	4	4	5	4	4	3	3	1	1	1	1	2	1,5,6,9	1	NA	NA	NA	1	1	NA	NA	1	NA	35	1	W	5	163	128	4	Post-doctoral	NA	1	univ
