talk.id;session;talk.type;date.time;date;time;schedule;speaker.sex;chair.sex;ontime;stop;duration;attendees;attendees.women;attendees.men;silence;chair.question;questions;total.questions;questions.women;questions.men;q1.sex;q1.duration;a1.duration;replicate;q2.sex;q2.duration;a2.duration;q2.replicate;q3.sex;q3.duration;a3.duration;q3.replicate;q4.sex;q4.duration;a4.duration;q4.replicate;q5.sex;q5.duration;a5.duration;q5.replicate;q6.sex;q6.duration;a6.duration;q6.replicate;q7.sex;q7.duration;a7.duration;q7.replicate
TS08.03;TS08;oral;07/02/2019 15:30;07/02/2019;15:30;afternoon;W;W;yes;no;10;46.5;24.5;22;no;no;1;1;0;1;M;30.5;21.5;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
TS09.01;TS09;invited;05/02/2019 12:00;05/02/2019;12:00;morning;W;W&M;no;no;40;36;22;14;no;no;0;0;0;0;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
TS09.02;TS09;oral;05/02/2019 12:30;05/02/2019;12:30;morning;M;W&M;no;no;8;35;14;21;no;no;0;0;0;0;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
TS09.03;TS09;oral;05/02/2019 12:45;05/02/2019;12:45;morning;W;M;no;no;12;40;17;23;no;NA;2;2;1;1;M;12;15;NA;W;23;0;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
TS09.04;TS09;oral;05/02/2019 13:00;05/02/2019;13:00;morning;W;W&M;no;no;11;31;12;19;yes;NA;1;1;0;1;M;7;33;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
TS09.05;TS09;oral;05/02/2019 13:15;05/02/2019;13:15;morning;M;W&M;no;no;13;31;13;18;no;NA;2;2;0;2;M;68;22;yes;M;28;48;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
TS09.06;TS09;oral;05/02/2019 16:00;05/02/2019;16:00;afternoon;M;W;yes;no;12;30;13;17;no;no;1;1;0;1;M;6;14;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
TS09.07;TS09;oral;05/02/2019 16:15;05/02/2019;16:15;afternoon;W;W&M;yes;no;13;44;18;26;no;no;1;1;0;1;M;7;12;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
TS09.08;TS09;oral;05/02/2019 16:30;05/02/2019;16:30;afternoon;M;M;yes;no;13;41;18;23;yes;no;1;0;0;0;NA;20;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
TS10.01;TS10;invited;07/02/2019 12:00;07/02/2019;12:00;morning;M;M;yes;no;31;66;34;32;no;no;1;1;0;1;M;34;42;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
TS10.02;TS10;oral;07/02/2019 12:30;07/02/2019;12:30;morning;W;M;no;no;14;44;33;31;yes;no;0;0;0;0;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
TS10.03;TS10;oral;07/02/2019 12:45;07/02/2019;12:45;morning;W;M;no;no;13;65;31;34;no;no;0;0;0;0;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
TS10.04;TS10;oral;07/02/2019 13:00;07/02/2019;13:00;morning;M;M;no;no;13;63;31;32;no;no;2;2;1;1;M;24;10;NA;W;9;24;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
TS10.05;TS10;oral;07/02/2019 13:15;07/02/2019;13:15;morning;M;M;no;no;14;49;23;26;no;no;0;0;0;0;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
TS10.06;TS10;oral;07/02/2019 15:00;07/02/2019;15:00;afternoon;W;W;yes;no;10;39;20;19;no;yes.last;2;2;0;2;M;19;9;yes;M;10;5;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
TS10.07;TS10;oral;07/02/2019 15:15;07/02/2019;15:15;afternoon;M;W;yes;no;14;50;28;22;no;no;2;2;1;1;M;20;22;NA;W;15;27;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
TS10.08;TS10;oral;07/02/2019 15:30;07/02/2019;15:30;afternoon;W;W;yes;no;12;47;25;22;no;yes.last;3;3;1;2;M;16;18;yes;M;35;58;yes;W;9;20;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
TS10.09;TS10;oral;07/02/2019 15:45;07/02/2019;15:45;afternoon;W;W;yes;no;11;56;25;31;yes;no;1;1;0;1;M;20;25;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
TS10.10;TS10;oral;07/02/2019 16:00;07/02/2019;16:00;afternoon;W;W;yes;no;14;43;21;22;no;no;1;1;0;1;M;21;48;yes;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
TS10.11;TS10;oral;07/02/2019 16:15;07/02/2019;16:15;afternoon;M;W;yes;no;14;NA;NA;NA;no;yes.last;3;3;1;2;W;10;15;NA;M;15;20;NA;M;15;25;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
TS10.12;TS10;oral;07/02/2019 16:30;07/02/2019;16:30;afternoon;W;W;no;no;12;48;25;23;yes;no;1;1;0;1;M;25;35;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
TS10.13;TS10;oral;07/02/2019 16:45;07/02/2019;16:45;afternoon;W;W;yes;no;11;43;25;18;no;no;2;2;1;1;M;33;2;NA;W;10;44;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
TS11.01;TS11;oral;06/02/2019 19:00;06/02/2019;19:00;evening;M;W;no;no;12;33;15;18;yes;yes.unique;1;1;1;0;W;20;50;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
TS12.01;TS12;invited;05/02/2019 18:00;05/02/2019;18:00;evening;M;M;yes;no;39.5;27.5;10.5;17;no;yes.first;1.5;2;0;2;M;17.5;23;NA;M;10;25;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
TS12.02;TS12;oral;05/02/2019 18:30;05/02/2019;18:30;evening;W;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;0;0;0;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
TS12.03;TS12;oral;05/02/2019 18:45;05/02/2019;18:45;evening;W;M;yes;no;15;23.5;8;15.5;no;no;1;1;0;1;M;10;40;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
TS12.04;TS12;oral;05/02/2019 19:07;05/02/2019;19:07;evening;M;M;yes;no;15.5;23.5;9.5;14;yes;no;0;0;0;0;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
TS13.01;TS13;oral;05/02/2019 18:00;05/02/2019;18:00;evening;M;W;yes;no;10;28;19;9;no;yes.first;4;4;3;1;W;36;13;yes;W;5;9;NA;W;5;10;NA;M;10;20;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
TS13.02;TS13;oral;05/02/2019 18:15;05/02/2019;18:15;evening;W;W;yes;no;12;24;17;7;yes;yes.unique;2;2;2;0;W;18;45;NA;W;30;50;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
TS13.03;TS13;oral;05/02/2019 18:30;05/02/2019;18:30;evening;W;W;yes;no;11;32;19;13;no;yes.other;3;3;2;1;W;3;10;NA;W;12;12;NA;M;22;72;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
TS13.04;TS13;oral;05/02/2019 18:45;05/02/2019;18:45;evening;M;W;yes;no;12;22;13;9;no;no;2;2;1;1;M;13;18;NA;W;13;14;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
TS13.05;TS13;oral;05/02/2019 19:00;05/02/2019;19:00;evening;W;W;yes;no;12;21;13;8;no;no;1;1;0;1;M;14;2;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
TS13.06;TS13;oral;05/02/2019 19:15;05/02/2019;19:15;evening;W;W;yes;no;11;20;12;8;no;yes.unique;2;2;2;0;W;20;33;NA;W;15;2;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
TS13.07;TS13;oral;05/02/2019 19:30;05/02/2019;19:30;evening;W;W;yes;no;12;14;10;4;yes;yes.unique;1;1;1;0;W;30;20;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
TS14.01;TS14;invited;05/02/2019 12:00;05/02/2019;12:00;morning;M;M;yes;no;30;60;30;30;no;no;2;2;1;1;W;15;18;NA;M;17;53;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
TS14.02;TS14;oral;05/02/2019 12:30;05/02/2019;12:30;morning;M;W;no;yes;17;52;31;21;no;no;0;0;0;0;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
TS14.03;TS14;oral;05/02/2019 12:45;05/02/2019;12:45;morning;M;M;no;no;12;46;21;25;no;no;1;0;0;0;NA;13;20;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
TS14.04;TS14;oral;05/02/2019 13:00;05/02/2019;13:00;morning;M;W;no;no;13;33;15;18;no;no;0;0;0;0;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
TS14.05;TS14;oral;05/02/2019 13:15;05/02/2019;13:15;morning;W;M;no;no;13;23;11;12;no;no;0;0;0;0;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
TS14.06;TS14;oral;05/02/2019 18:00;05/02/2019;18:00;evening;M;M;yes;no;12;63;38;25;no;yes.last;2;2;0;2;M;16;52;NA;M;14;33;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
TS14.07;TS14;oral;05/02/2019 18:15;05/02/2019;18:15;evening;W;M;no;no;15;63;36;27;no;no;0;0;0;0;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
TS14.08;TS14;oral;05/02/2019 18:30;05/02/2019;18:30;evening;M;M;no;no;12;58;34;24;no;no;1;1;0;1;M;15;24;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
TS14.09;TS14;oral;05/02/2019 18:45;05/02/2019;18:45;evening;M;M;yes;no;12;39;25;14;yes;yes.last;2;2;0;2;M;54;81;yes;M;8;33;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
TS14.10;TS14;oral;05/02/2019 19:00;05/02/2019;19:00;evening;M;W;no;no;11;32;17;15;yes;yes.other;3;3;1;2;M;10;38;NA;W;18;16;NA;M;27;21;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
TS14.11;TS14;oral;05/02/2019 19:15;05/02/2019;19:15;evening;W;W;yes;no;13;25;13;12;yes;yes.other;3;3;1;2;M;26;74;yes;W;16;18;NA;M;30;73;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
TS14.12;TS14;oral;05/02/2019 19:30;05/02/2019;19:30;evening;W;W;no;no;14;20;10;10;no;no;1;1;0;1;M;21;34;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
TS14.13;TS14;oral;05/02/2019 19:45;05/02/2019;19:45;evening;W;W;no;no;13;27;13;14;no;yes.first;4;4;2;2;W;18;27;NA;M;29;32;yes;W;28;57;NA;M;41;47;yes;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
TS15.01;TS15;invited;05/02/2019 12:00;05/02/2019;12:00;morning;M;M;no;no;28;53;20;33;no;no;1;1;1;0;W;35;113;yes;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
TS15.02;TS15;oral;05/02/2019 12:30;05/02/2019;12:30;morning;M;M;no;yes;12.5;47;22.5;24.5;no;no;1;1;0;1;M;15;25;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
TS15.03;TS15;oral;05/02/2019 12:45;05/02/2019;12:45;morning;W;NA;no;no;13;34.5;14;20.5;yes;no;0;0;0;0;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
TS15.04;TS15;oral;05/02/2019 13:00;05/02/2019;13:00;morning;W;W;yes;no;13;37;13.5;23.5;no;no;3;3;1;2;M;32.5;14;NA;W;51;34.5;yes;M;12.5;4;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
TS15.05;TS15;oral;05/02/2019 13:15;05/02/2019;13:15;morning;M;M;no;no;12.5;33;16;17;yes;yes.first;2;2;0;2;M;10;13;NA;M;4.5;20;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
TS15.06;TS15;oral;05/02/2019 16:00;05/02/2019;16:00;afternoon;W;M;yes;no;14;45;19;26;no;yes.unique;1;1;0;1;M;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
TS15.07;TS15;oral;05/02/2019 16:15;05/02/2019;16:15;afternoon;M;W;yes;no;13;37;15;22;no;no;0;0;0;0;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
TS15.08;TS15;oral;05/02/2019 16:30;05/02/2019;16:30;afternoon;M;W;yes;no;15;20;10;10;no;yes.unique;1;1;0;1;M;12;20;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
TS15.09;TS15;oral;05/02/2019 16:45;05/02/2019;16:45;afternoon;W;M;yes;no;15;21;8;13;no;no;4;4;3;1;W;43;120;NA;W;5;39;NA;M;4;23;NA;W;4;53;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
TS16.01;TS16;invited;05/02/2019 18:00;05/02/2019;18:00;evening;M;M;yes;no;24.66666667;39.66666667;14.33333333;25.33333333;no;yes.other;4;4;2;2;M;8.666666667;37;NA;W;16.37666667;47.33333333;NA;M;23.33333333;56;NA;W;23;11;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
TS16.02;TS16;oral;05/02/2019 18:30;05/02/2019;18:30;evening;W;NA;no;no;12;29.5;13;16.5;yes;yes.unique;1;1;1;0;W;8.5;10.5;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
TS16.03;TS16;oral;05/02/2019 18:45;05/02/2019;18:45;evening;M;M;yes;yes;17;38.33333333;17.33333333;21;no;yes.unique;1;1;1;0;W;8;35;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
TS16.04;TS16;oral;05/02/2019 19:00;05/02/2019;19:00;evening;M;M;no;no;10;27.5;15;12.5;yes;yes.other;3;3;2;1;W;18;59;NA;M;32;27;NA;W;16.5;6;yes;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
TS16.05;TS16;oral;05/02/2019 19:15;05/02/2019;19:15;evening;W;M;no;no;10.5;24;11.5;12.5;yes;no;0;0;0;0;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
TS16.06;TS16;oral;05/02/2019 19:30;05/02/2019;19:30;evening;M;M;yes;no;11;20;11.5;8.5;yes;yes.other;3;3;2;1;W;7.5;15.5;NA;W;23;77;yes;M;6.935;25.295;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
TS16.07;TS16;oral;05/02/2019 19:45;05/02/2019;19:45;evening;M;M;NA;no;17;27;14;13;no;no;3;3;2;1;M;13;15.5;NA;W;6.5;37;NA;W;10.5;29;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
TS17.01;TS17;invited;05/02/2019 12:00;05/02/2019;12:00;morning;M;M;yes;no;23;35;18;17;yes;yes.other;5;5;1;4;M;20;87;NA;M;6;52;NA;M;21;47;NA;W;25;49;NA;M;15;50;NA;NA;NA;NA;NA;NA;NA;NA;NA
TS17.02;TS17;oral;05/02/2019 12:30;05/02/2019;12:30;morning;M;M;yes;no;14;40;19;21;no;no;2;2;0;2;M;32;67;yes;M;6;85;yes;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
TS17.03;TS17;oral;05/02/2019 12:45;05/02/2019;12:45;morning;W;M;no;no;11;40;17;23;no;no;2;2;0;2;M;16;42;yes;M;8;25;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
TS17.04;TS17;oral;05/02/2019 13:00;05/02/2019;13:00;morning;M;M;no;no;13;41;23;18;yes;yes.last;2;2;0;2;M;29;40;NA;M;15;17;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
TS17.05;TS17;oral;05/02/2019 13:15;05/02/2019;13:15;morning;W;M;no;no;12;48;24;24;no;no;2;2;1;1;W;23;17;NA;M;46;19;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
TS17.06;TS17;oral;05/02/2019 16:00;05/02/2019;16:00;afternoon;W;M;no;no;11;58;33;25;no;yes.last;3;3;1;2;M;19;47;NA;W;10;40;NA;M;26;74;yes;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
TS17.07;TS17;oral;05/02/2019 16:15;05/02/2019;16:15;afternoon;M;M;no;no;14;47;22;25;yes;yes.last;2;2;0;2;M;21;125;NA;M;40;96;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
TS17.08;TS17;oral;05/02/2019 16:30;05/02/2019;16:30;afternoon;M;M;no;no;9;51;26;25;no;yes.last;3;3;0;3;M;12;46;NA;M;36;1;NA;M;30;42;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
TS17.09;TS17;oral;05/02/2019 16:45;05/02/2019;16:45;afternoon;M;M;no;no;12;55;28;27;no;yes.last;4;4;0;4;M;12;30;NA;M;40;1;NA;M;16;1;NA;M;72;21;yes;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
TS18.01;TS18;oral;05/02/2019 18:00;05/02/2019;18:00;evening;M;M;no;yes;15;42;27;15;no;no;0;0;0;0;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
TS18.02;TS18;oral;05/02/2019 18:15;05/02/2019;18:15;evening;M;M;no;no;15;57;32;25;no;no;0;0;0;0;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
TS18.03;TS18;oral;05/02/2019 18:30;05/02/2019;18:30;evening;W;M;no;no;13;43;25;18;no;no;0;0;0;0;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
TS18.04;TS18;oral;05/02/2019 18:45;05/02/2019;18:45;evening;W;M;no;yes;17;46;24;22;no;no;0;0;0;0;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
TS18.05;TS18;oral;05/02/2019 19:00;05/02/2019;19:00;evening;M;M;no;yes;17;47;31;16;no;no;1;1;0;1;M;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
TS18.06;TS18;oral;05/02/2019 19:15;05/02/2019;19:15;evening;M;M;no;no;14;42;26;16;no;no;0;0;0;0;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
TS18.07;TS18;oral;05/02/2019 19:30;05/02/2019;19:30;evening;W;M;no;no;16;32;21;11;no;no;0;0;0;0;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
TS18.08;TS18;oral;05/02/2019 19:45;05/02/2019;19:45;evening;M;M;no;no;5;31;19;12;no;no;0;0;0;0;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
TS20.01;TS20;oral;05/02/2019 18:00;05/02/2019;18:00;evening;M;M;yes;no;22;64;25;39;yes;no;4;4;1;3;M;25;32;NA;M;26;23;NA;W;10;39;NA;M;25;0;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
TS20.02;TS20;oral;05/02/2019 18:30;05/02/2019;18:30;evening;M;M;yes;no;13;54;21;33;no;no;2;2;0;2;M;40;53;NA;M;9;20;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
TS20.03;TS20;oral;05/02/2019 18:45;05/02/2019;18:45;evening;M;M;yes;no;11;66;29;37;yes;no;1;1;1;0;W;8;48;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
TS20.04;TS20;oral;05/02/2019 19:00;05/02/2019;19:00;evening;M;M;yes;no;10;50;15;35;no;no;1;1;0;1;M;12;52;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
TS20.05;TS20;oral;05/02/2019 19:15;05/02/2019;19:15;evening;M;M;yes;no;13;48;17;31;yes;no;1;1;0;1;M;56;76;yes;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
TS20.06;TS20;oral;05/02/2019 19:30;05/02/2019;19:30;evening;W;M;yes;no;16;61;20;41;yes;no;1;1;0;1;M;54;7;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
TS20.07;TS20;oral;05/02/2019 19:45;05/02/2019;19:45;evening;M;M;yes;no;18;50;15;35;yes;no;1;1;0;1;M;50;23;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
TS21.01;TS21;oral;05/02/2019 18:00;05/02/2019;18:00;evening;M;W&M;yes;no;12;43;24;19;no;no;3;3;1;2;M;NA;NA;NA;W;10;65;NA;M;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
TS21.02;TS21;oral;05/02/2019 18:15;05/02/2019;18:15;evening;W;M;yes;no;12;43;25;18;yes;no;2;2;1;1;M;NA;NA;NA;W;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
TS21.03;TS21;oral;05/02/2019 18:30;05/02/2019;18:30;evening;W;M;yes;no;12;43;25;18;yes;no;2;2;2;0;W;NA;NA;NA;W;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
TS21.04;TS21;oral;05/02/2019 18:45;05/02/2019;18:45;evening;M;W;yes;no;14;45;26;19;yes;no;1;1;0;1;M;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
