talk.id;session;talk.type;date.time;date;time;schedule;speaker.sex;chair.sex;ontime;stop;duration;attendees;attendees.women;attendees.men;silence;chair.question;questions;total.questions;questions.women;questions.men;q1.sex;q1.duration;a1.duration;replicate;q2.sex;q2.duration;a2.duration;q2.replicate;q3.sex;q3.duration;a3.duration;q3.replicate;q4.sex;q4.duration;a4.duration;q4.replicate;q5.sex;q5.duration;a5.duration;q5.replicate;q6.sex;q6.duration;a6.duration;q6.replicate;q7.sex;q7.duration;a7.duration;q7.replicate
GS04.04;GS04;oral;07/02/2019 15:45;07/02/2019;15:45;afternoon;M;M;yes;no;11;47;26;21;yes;no;0;0;0;0;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
GS04.05;GS04;oral;07/02/2019 16:00;07/02/2019;16:00;afternoon;M;W;yes;no;14;39;25;14;no;no;1;1;1;0;W;19;93;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
GS04.06;GS04;oral;07/02/2019 16:15;07/02/2019;16:15;afternoon;M;W;yes;no;11;37;26;11;no;no;1;1;1;0;W;17;62;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
GS05.01;GS05;oral;05/02/2019 12:00;05/02/2019;12:00;morning;W;M;no;no;15;49;20;29;no;yes.first;2;1;1;0;W;5;20;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
GS05.02;GS05;oral;05/02/2019 12:15;05/02/2019;12:15;morning;M;M;no;yes;15;51;22;29;no;no;0;0;0;0;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
GS05.03;GS05;oral;05/02/2019 12:30;05/02/2019;12:30;morning;M;M;no;no;12;50;27;23;no;yes.unique;1;0;0;0;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
GS05.04;GS05;oral;05/02/2019 12:45;05/02/2019;12:45;morning;M;M;no;no;14;56;34;22;no;no;1;1;1;0;W;10;10;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
GS05.05;GS05;oral;05/02/2019 13:00;05/02/2019;13:00;morning;W;M;no;no;11;59;38;21;no;no;2;2;0;2;M;10;15;NA;M;10;30;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
GS05.06;GS05;oral;05/02/2019 13:15;05/02/2019;13:15;morning;M;M;no;no;14;56;34;22;no;no;3;3;2;1;W;10;30;NA;M;120;100;NA;W;20;20;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
GS05.07;GS05;oral;05/02/2019 16:00;05/02/2019;16:00;afternoon;M;M;yes;no;15.5;54;29.5;24.5;no;no;1;1;1;0;W;8;25;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
GS05.08;GS05;oral;05/02/2019 16:15;05/02/2019;16:15;afternoon;W;M;yes;no;13;48;28;20;no;no;2;2;1;1;M;12.5;25;NA;W;112.5;45;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
GS05.09;GS05;oral;05/02/2019 16:30;05/02/2019;16:30;afternoon;W;M;no;no;14;47;27.5;19.5;no;no;2;2;1;1;M;10;22.5;NA;W;17.5;35;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
GS05.10;GS05;oral;05/02/2019 16:45;05/02/2019;16:45;afternoon;M;M;no;no;16.5;45.5;26;19.5;no;no;1.5;2;2;0;W;15;35;NA;W;15;10;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
GS05.11;GS05;oral;06/02/2019 12:00;06/02/2019;12:00;morning;W;M;yes;no;12;42;20;22;NA;yes.first;3;3;1;2;M;15;13;NA;M;12;29;NA;W;28;23;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
GS05.12;GS05;oral;06/02/2019 12:15;06/02/2019;12:15;morning;M;M;no;no;12;42;21;21;no;yes.last;3;3;2;1;W;20;48;NA;W;42;30;yes;M;10;6;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
GS05.13;GS05;oral;06/02/2019 12:30;06/02/2019;12:30;morning;W;M;no;no;13;57;30;27;no;no;3;3;1;2;M;24;45;NA;M;11;2;NA;W;60;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
GS05.14;GS05;oral;06/02/2019 12:45;06/02/2019;12:45;morning;M;M;no;no;11;46;28;18;no;yes.last;3;3;1;2;M;31;57;NA;W;27;54;NA;M;8;4;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
GS05.15;GS05;oral;06/02/2019 13:00;06/02/2019;13:00;morning;M;M;no;yes;14;44;23;21;yes;yes.unique;1;1;0;1;M;8;27;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
GS05.16;GS05;oral;06/02/2019 13:15;06/02/2019;13:15;morning;W;M;no;no;10;43;25;18;no;yes.last;2;2;0;2;M;6;50;NA;M;13;15;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
GS05.17;GS05;oral;06/02/2019 18:00;06/02/2019;18:00;evening;M;W;yes;no;12;38;20;18;no;yes.first;2;2;1;1;W;10;55;NA;M;40;1.1;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
GS05.18;GS05;oral;06/02/2019 18:15;06/02/2019;18:15;evening;W;W;yes;no;13;50;26;24;yes;yes.first;2;2;2;0;W;91;63;yes;W;9;50;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
GS05.19;GS05;oral;06/02/2019 18:30;06/02/2019;18:30;evening;W;W;no;no;15;48;27;21;no;yes.last;3;3;2;1;M;11;20;NA;W;4;16;NA;W;10;40;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
GS05.20;GS05;oral;06/02/2019 18:45;06/02/2019;18:45;evening;W;W;no;no;12;57;31;26;yes;no;0;0;0;0;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
PT01;PT01;plenary;04/02/2019 17:30;04/02/2019;17:30;evening;M;W;yes;no;50;366;183;186.5;no;no;3;3;1;2;W;40;152.6666667;NA;M;22.33333333;256.3333333;NA;M;22;176.6666667;yes;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
PT02;PT02;plenary;05/02/2019 9:00;05/02/2019;9:00;morning;W;M;yes;no;43.33333333;183;87;96;no;no;3;3;1;2;M;78;47.33333333;NA;M;33.66666667;40;NA;W;18;60.33333333;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
PT03;PT03;plenary;05/02/2019 10:00;05/02/2019;10:00;morning;M;M;no;no;47.5;319.4;103.6666667;134.3333333;no;no;6.75;7;2;5;M;15.75;60.25;NA;W;26.25;94.5;NA;M;48;48;yes;W;40.75;82.5;yes;M;36;48.25;yes;M;58.25;155.5;NA;M;48.66666667;76;NA
PT04;PT04;plenary;05/02/2019 15:00;05/02/2019;15:00;afternoon;W;M;yes;no;49.75;230;75;76;no;no;3;3;2;1;W;42;43.66666667;yes;M;25.33333333;38.33333333;NA;W;100.6666667;10;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
PT05;PT05;plenary;06/02/2019 9:00;06/02/2019;9:00;morning;M;M;NA;no;51;160.3333333;80;80.33333333;no;no;2;2;1;1;W;50.6;77;yes;M;93.4;94.4;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
PT06;PT06;plenary;06/02/2019 10:00;06/02/2019;10:00;morning;W;M;yes;no;56.25;366;131.5;142;no;no;1.5;1;0;1;M;77.5;32;yes;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
PT09;PT09;plenary;07/02/2019 18:00;07/02/2019;18:00;evening;W;M;yes;no;57;177;99;78;no;no;5;5;4;1;W;30;48;NA;M;34;126;NA;W;65;59;yes;W;67;54;NA;W;12;38;NA;NA;NA;NA;NA;NA;NA;NA;NA
